Input,Quick,Median
60000,0.1234200001,1.6740550995
72000,0.2472729683,1.7160351276
86400,0.2931718826,1.7360501289
103680,0.3562238216,1.8617429733
124416,0.431812048,1.7857971191
149299,0.5732529163,2.0141448975
179158,0.9005000591,1.9524078369
214989,0.914192915,2.1904120445
257986,1.1789469719,2.1381249428
309583,1.3809349537,2.2947218418
371499,1.9846949577,2.1523661614
445798,2.2970759869,2.4275820255
534957,2.8449130058,2.5411832333
641948,3.7180960178,2.4491999149
770337,4.8983948231,2.9900131226
924404,5.4624459744,2.9927349091
1109284,6.2363369465,3.1549658775
1331140,7.5550150871,3.4601149559
1597368,9.853028059,3.3758640289
1916841,13.1324641705,4.3394970894
2300209,14.0825510025,4.0423839092
2760250,18.6467788219,5.2583198547
3312300,22.1389830112,5.9527320862
3974760,29.2019410133,6.6981818676
4769712,33.7263829708,7.6953079701
5723654,45.4067280293,9.0011060238
6868384,58.2166690826,11.2360570431
8242060,83.7992799282,13.7609591484
9890472,99.4988229275,15.1949300766
11868566,117.553164959,18.0103471279
14242279,190.328402996,20.7101061344
17090734,185.343934774,25.0472970009
20508880,243.766813993,30.9368829727
24610656,377.379430056,43.0126340389
